#     MHz     10*Log10(L.P)   Imag(A.Z)
15.8500          -19.0919     -895.145
15.8502          -19.0897     -894.914
15.8503          -19.0874     -894.682
15.8505          -19.0852     -894.449
15.8506          -19.0830     -894.215
15.8508          -19.0807     -893.980
15.8509          -19.0785     -893.744
15.8511          -19.0762     -893.508
15.8512          -19.0739     -893.270
15.8514          -19.0716     -893.031
15.8515          -19.0693     -892.792
15.8517          -19.0670     -892.551
15.8518          -19.0647     -892.309
15.8520          -19.0623     -892.067
15.8521          -19.0600     -891.823
15.8523          -19.0577     -891.579
15.8524          -19.0553     -891.334
15.8526          -19.0529     -891.087
15.8527          -19.0505     -890.840
15.8529          -19.0481     -890.591
15.8530          -19.0457     -890.342
15.8532          -19.0433     -890.091
15.8533          -19.0409     -889.839
15.8535          -19.0385     -889.587
15.8536          -19.0360     -889.333
15.8538          -19.0336     -889.078
15.8539          -19.0311     -888.823
15.8541          -19.0286     -888.566
15.8542          -19.0261     -888.308
15.8544          -19.0236     -888.049
15.8545          -19.0211     -887.789
15.8547          -19.0186     -887.528
15.8548          -19.0161     -887.266
15.8550          -19.0135     -887.002
15.8551          -19.0110     -886.738
15.8553          -19.0084     -886.472
15.8554          -19.0058     -886.205
15.8556          -19.0032     -885.937
15.8557          -19.0006     -885.668
15.8559          -18.9980     -885.398
15.8560          -18.9954     -885.127
15.8562          -18.9927     -884.854
15.8563          -18.9901     -884.581
15.8565          -18.9874     -884.306
15.8566          -18.9847     -884.030
15.8568          -18.9821     -883.753
15.8569          -18.9794     -883.474
15.8571          -18.9766     -883.194
15.8572          -18.9739     -882.914
15.8574          -18.9712     -882.631
15.8575          -18.9684     -882.348
15.8577          -18.9657     -882.063
15.8578          -18.9629     -881.778
15.8580          -18.9601     -881.490
15.8581          -18.9573     -881.202
15.8583          -18.9545     -880.912
15.8584          -18.9516     -880.621
15.8586          -18.9488     -880.329
15.8587          -18.9459     -880.035
15.8589          -18.9430     -879.740
15.8590          -18.9402     -879.444
15.8592          -18.9373     -879.147
15.8593          -18.9343     -878.848
15.8595          -18.9314     -878.547
15.8596          -18.9285     -878.246
15.8598          -18.9255     -877.943
